Traceport Meta Category,Traceport Meta Tag,PCS Term,PCS Code,NTEE Code,Definition,NTEE Long Description,NTEE Major Group Letter,NTEE Major Group Letter Description,360Giving Term
Arts and culture,Arts and culture,Arts and culture,SA000000,A00,"Enjoyment or understanding of the visual, performing, or folk arts or the humanities (history, art history, modern and classical languages, philosophy, ethics); and organizations that promote the appreciation or understanding of historical events, including historical societies and genealogical or heredity-based organizations (e.g., Sons of the Revolution, Daughters of the Confederacy, etc.). Includes museums and halls of fame; historic preservation programs; groups of or services to artists, performers, entertainers, writers, or humanities scholars; programs which promote artistic expression of or within ethnic groups and cultures; and art and performing art schools, centers, and studios. Does not include libraries and reading programs (see Education); botanical gardens,or zoos (see Environment).",,A,"Arts, Culture & Humanities",
,Arts services,Arts services,SA010000,A90,"Provision of services to arts organizations, including facilities or touring assistance. Also includes provision of management assistance, including assistance with marketing, term financing planning, and stabilization for arts organizations. This code is for broad arts services aimed at organizations.",,A,"Arts, Culture & Humanities",
,Arts councils,Arts councils,SA010100,A26,"Projects to foster, nurture and sustain artistic excellence and create a climate in which the arts may flourish and be experienced and enjoyed by the public by providing funding, management and programming services for arts organizations in a specific geographic community. Included are groups which support design arts, dance, expansion arts, folk arts, museums, music, opera/musical theater, theater and the visual arts.",,A,"Arts, Culture & Humanities",
,Artist's services,Artist's services,SA010200,A91,"Provision of technical services, subsistence funding, studios or living facilities (including artists' colonies) to individual artists or which provide artist registries. Also includes offering care to older and ill performing artists and assistance to market an artists' work. This includes all manner of artists: visual, performing, literary, etc.",,A,"Arts, Culture & Humanities",
,Arts administration,Arts administration,SA010300,A02,"Promotion and support of organizations, services and programs that manage museums, galleries, artist centers and organizations that help exhibit and manage art, and that promote and support artists and their work. For the management of collections, see Museums.",,A,"Arts, Culture & Humanities",
,Arts exchange,Arts exchange,SA010400,Q21,"Provision of international cultural educational experiences, as well as sponsorship of international cultural events and activities designed to increase understanding of other societies through the arts and humanities (e.g., touring performing arts troupes).",,Q,"International, Foreign Affairs & National Security",
,Arts education,Arts education,SA010500,A25,"Provision of formal or informal arts educational programming and/or instruction often without the granting of diplomas or degrees. Also, the operation of arts educational facilities and/or offer of services regarding the arts to educational institutions or to public entities concerned with education. Includes schools, camps and associations that provide instruction and other arts programming to children and adults. For Performing arts education, use that specific code.",,A,"Arts, Culture & Humanities",
,Folk arts,Folk arts,SA020000,A24,"Promotion, production or performance of art forms that were developed as a part of the history, culture, religion, language or work of a particular region or people and passed from generation to generation as a part of their traditions. Included are: Production, promotion and dissemination of information on traditional music, dance, theater or folklore of various cultures. National, regional, state and local groups that present, sell or teach various folk art forms (tool-making, crafts, sewing, smocking, basket weaving, batik/tie die, origami, harmonica, etc.). Performance, presentation and support of folk art in a specific region.",,A,"Arts, Culture & Humanities",
,Public arts,Public arts,SA030000,NEW,"Art that is displayed, presented or performed in shared public spaces (usually outdoors and site specific) that is designed to engage the public or a specific community. This includes sculpture, interactive digital art, murals and site specific performances that are created specifically for the public to enjoy outdoors.",,N,Recreation & Sports,
,Cultural awareness,Cultural awareness,SA040000,A23,"Promotion and presentation of artistic expression within a particular ethnic community; work for the preservation and promotion of the traditions, values and lifestyles of different cultural groups; organized activities and events which promote cultural exchange locally or nationally; and efforts to encourage understanding and respect for different cultural heritages among the youthful members of the group as well as the mainstream population.",,A,"Arts, Culture & Humanities",
,Sacred sites,Sacred sites,SA040100,NEW,"Preservation, research, development or access support for natural sites or architectural structures of special spiritual or cultural significance to peoples, communities, and institutionalized religions or local belief systems. Included are places integral to ethnic identity and traditional culture which may be associated with worship, pilgrimage, healing, revelation, remembrance, and funeral practices.",,N,Recreation & Sports,
,Traditional knowledge,Traditional knowledge,SA040200,NEW,"The cumulative body of knowledge, practices and representations maintained, developed and often collectively owned by regional, indigenous or local peoples distinguishing one community from another, helping to define its cultural and spiritual identity, with extended histories of interaction with and accumulated empirical observation of the natural environment , encompassing language, naming and classification systems, resource use practices, ritual, spirituality and worldview and more specifically including traditional technologies of subsistence, midwifery, ethnobotany and ecological knowledge, celestial navigation, ethnoastronomy and the climate, crucial for survival. Oral history, in the form of stories, proverbs, legends, folklore, ritual, songs and laws, often plays a significant role.",,N,Recreation & Sports,
,Language preservation and revitalization,Language preservation and revitalization,SA040300,NEW,"Documentation or promotion of, and instruction in, languages and dialects particular to an ethnic or regional community, which may be at risk of loss due to cultural or political pressures or a declining population of native speakers. See also: Linguistics, Cultural rights.",,N,Recreation & Sports,
,Visual arts,Visual arts,SA050000,A40,"Promotion of or access to a variety of visual arts not limited to specific media. Also included are activities which focus on an art form such as stained glass or textiles that are not broken out at a lower level. For art museums or galleries, use Art museums.",,A,"Arts, Culture & Humanities",
,Architecture,Architecture,SA050100,A41,"Promotion of architecture, the study of architecture, and the appreciation of architecture or the works of a particular architect. See also: Urban planning.",,A,"Arts, Culture & Humanities",
,Art conservation,Art conservation,SA050200,A48,"Art conservation services, or instruction in art conservation, as part of or independent from a museum or university.",,A,"Arts, Culture & Humanities",
,Ceramic arts,Ceramic arts,SA050300,A47,"Study or practice of ceramic arts or an appreciation for ceramic arts and which may offer classes in ceramics. Included are galleries and other art centers that display and/or sell art objects including mosaics made of fired clay, porcelain, brick, glass, vitreous enamels, cement or plaster refractories.",,A,"Arts, Culture & Humanities",
,Design,Design,SA050400,A44,"Study and practice of design or an appreciation of design. While in this case design is interpreted broadly, the majority of entries are concerned with the disciplines of interior design and graphic design.",,A,"Arts, Culture & Humanities",
,Drawing,Drawing,SA050500,A46,Study and practice of drawing. Includes cartooning and scientific drawing. Included are galleries or other art centers that display and/or sell drawings.,,A,"Arts, Culture & Humanities",
,Painting,Painting,SA050600,A45,"Study and practice of painting as an appreciation of painting. Included are galleries or other art centers that display and/or sell canvasses or other art pieces that have been done in oils, watercolors, acrylics, charcoal or other media in a variety of styles.",,A,"Arts, Culture & Humanities",
,Photography,Photography,SA050700,A42,"Promotion of photography, the study and practice of photography, or an appreciation of photography. Included are galleries or other arts centers that display and/or sell original photographs.",,A,"Arts, Culture & Humanities",
,Printmaking,Printmaking,SA050800,NEW,"Study, practice and promotion of printmaking, or an appreciation of printmaking. Included are galleries, community and cooperative art print shops and artists' centers that give artists access to printing presses and silkscreen printing equipment. For fabric printing see Textile Arts.",,N,Recreation & Sports,
,Sculpture,Sculpture,SA050900,A43,"Study and practice of sculpture or an appreciation for sculpture. Included are galleries or other art centers that display and/or sell ornaments, figures or other three-dimensional art pieces that are carved or molded using wood, metal, clay, plaster, stone or other materials.",,A,"Arts, Culture & Humanities",
,Textile arts,Textile arts,SA051000,A49,"Art and craft of quilting, weaving, fabric design, and clothing design. Includes the use of textiles such as wool, cotton or other natural or synthetic fibers to create practical or decorative objects (for example clothing, carpets, tapestries) by weaving, knitting, crocheting, etc.",,A,"Arts, Culture & Humanities",
,Film and video,Film and video,SA051100,A31,"Production and presentation of films and videos for a variety of purposes, including educational, documentary, cultural and religious, and that promote public appreciation of film and video. Also included are programs that encourage new, foreign and independent film makers through the organization and presentation of film expositions and festivals or which show old or difficult to obtain films in noncommercial facilities, generally at somewhat reduced prices.",,A,"Arts, Culture & Humanities",
,Performing arts,Performing arts,SA060000,A60,"To promote, present, or support the performing arts or a variety of art forms that include the performing arts and that present performing arts series.",,A,"Arts, Culture & Humanities",
,Dance,Dance,SA060100,A62,"Creation and/or performance of a variety of types of dance, including ballet, modern, folk, country and western, and square dancing. This category includes organizations that offer two performing arts (including choreography and/or a school), but in which dance is clearly the primary one.",,A,"Arts, Culture & Humanities",
,Ballet,Ballet,SA060101,A63," Promotion, performance, or practice of a classical, neoclassical, or contemporary performance dance form characterized by precise and technical movements and stylistic conventions, and having roots in the Italian Renaissance.",,A,"Arts, Culture & Humanities",
,Choreography,Choreography,SA060102,A64,Development of new choreographies (designed sequences of dance movements) for performance by individual dancers or groups of dancers.,,A,"Arts, Culture & Humanities",
,Folk and ethnic dance,Folk and ethnic dance,SA060103,NEW,"Promotion, production or performance of forms of dance that were developed as part of the history, culture, religion of a particular region or people that is passed from generation to generation as part of a tradition. See also: Folk arts.",,N,Recreation & Sports,
,Jazz and tap dance,Jazz and tap dance,SA060104,NEW,"Promotion, production and performance of traditional and modern Jazz dance and Tap. Traditional Jazz dance has its roots in African and Caribbean traditions and is associated with Jazz music, while modern Jazz is also influenced by classical ballet. Tap is a form of dance that emphasizes syncopation and the creation of rhythms using the feet, using special Tap shoes or the sides of softer shoes (Soft-shoe). ",,N,Recreation & Sports,
,Modern dance,Modern dance,SA060105,NEW,"Promotion, production and performance of Modern dance. Modern dance is an expressive form of dance that first emerged as a rejection of the rigid rules of classical ballet but has since developed its own specific conventions. Modern dance is often performed in bare feet and is an expressive and often highly physical and experimental form of dance. Includes Post Modern and Contemporary dance.",,N,Recreation & Sports,
,Theater,Theater,SA060200,A65,"Production of plays that are not exclusively musicals. This category includes professional theater, children's theater, community theater, puppetry, storytelling, mime and comedy. Also included are arrangements for theater festivals or special productions for school children, older adults, people with disabilities and other groups; or productions in parks or other community locations including institutions. When the primary activity is the production of musicals, use Musical theater.",,A,"Arts, Culture & Humanities",
,Musical theater,Musical theater,SA060201,A67,"Production of musicals. This category includes musical comedies, musical revues, children's musicals and those done by community, school, and professional theaters.",,A,"Arts, Culture & Humanities",
,Playwriting,Playwriting,SA060202,A66,"Development of new scripts for the theater. This category includes playwriting conferences, readings of new works, and festivals presenting new works.",,A,"Arts, Culture & Humanities",
,Music,Music,SA060300,A68,"Production of music and musical events, including concert series and music festivals.",,A,"Arts, Culture & Humanities",
,Composition,Composition,SA060301,A6D,Development of new pieces of music through activities including education in music or commissioning new pieces.,,A,"Arts, Culture & Humanities",
,Folk and indigenous music,Folk and indigenous music,SA060302,NEW,"Promotion, production or performance of forms of music that were developed as part of the history, culture or religion of a particular region or people that is passed from generation to generation as part of a tradition. See also: Folk arts. ",,N,Recreation & Sports,
,Musical ensembles and groups,Musical ensembles and groups,SA060303,A6C,"Music groups not specifically covered by another category, including individual instrumentalists, marching bands, jazz groups, chamber music groups, blues, country music, ethnic music (e.g., Brazilian, World, Afro-pop, etc.), rhythm and blues and rock.",,A,"Arts, Culture & Humanities",
,Opera,Opera,SA060304,A6A,"Production, promotion, and development of works in the classical music tradition that incorporate elements of theater (and sometimes dance), libretto, and music for voice and an often large musical ensemble, as a symphony orchestra. Use also for smaller-scale works like chamber operas.",,A,"Arts, Culture & Humanities",
,Orchestral music,Orchestral music,SA060305,A69,Operation of and performances by a symphony orchestra. Included are youth symphonies.,,A,"Arts, Culture & Humanities",
,Vocal music,Vocal music,SA060306,A6B,"Production of concerts, recitals, and recordings featuring barbershop singing groups, glee clubs/choir groups, children's choirs and other singing ensembles, as well as performances by individual singers.",,A,"Arts, Culture & Humanities",
,Performance art,Performance art,SA060400,A6F,"Blend of several of the performing arts into a single production or performance art. This includes experimental productions, performance art, and theater based on poetry.",,A,"Arts, Culture & Humanities",
,Circus arts,Circus arts,SA060500,A6G,"Form of entertainment which features performing animals, clowns, feats of skill and daring and pageantry in circular arenas surrounded by tiers of seats and often covered by a tent. Included are voluntary organizations whose members meet on a regular basis to exchange information about comedy, theatrical skits, makeup, costuming and other aspects of being a clown and who do voluntary performances for charitable groups, hospital patients, children's programs and other similar groups and participate in parades or other celebratory activities. Also included are organizations that make arrangements for clown performances.",,A,"Arts, Culture & Humanities",
,Spoken word,Spoken word,SA060600,NEW,"The art of oral storytelling or spoken word performance. Traditional forms of storytelling involve the verbal transmission of myths, fairytales and traditional knowledge encoded within the form of a story and can have deep cultural significance. Spoken word performances are a contemporary form of storytelling that range in tone from comedic to poetic, and often involve revelatory personal stories.",,N,Recreation & Sports,
,Performing arts education,Performing arts education,SA060700,A6E,"Instruction and classes in the performing arts, with or without the awarding of academic degrees. For full-time performing arts schools at the elementary, secondary, or college level that offer a high school or college degree, use those terms from Education along with this code.",,A,"Arts, Culture & Humanities",
,Museums,Museums,SA070000,A50,"To acquire, preserve, research, exhibit and provide for the educational use of works of art, objects or artifacts that are related to the study of zoology, biology, botany, mineralogy, geology and other natural sciences; history; archeology; or science and technology in a popular and fairly non-technical way. Organizations and projects in this category have art and science collections that represent a major portion of their collection. Includes cultural, preservation, and health museums.",,A,"Arts, Culture & Humanities",
,Art museums,Art museums,SA070100,A51,"Projects to acquire, preserve and exhibit permanent and/or traveling collections of art objects including fine art, decorative art, folk/ethnic art and textiles that are collected primarily for their aesthetic qualities and their importance as representatives of a particular artistic tradition or style. Included are museums that are dedicated to one or a combination of the following: paintings, drawings, etchings, engravings, woodcuts, photographs, sculpture, ceramics, serigraphy, architecture, furniture, silverware, jewelry and other art forms which represent the artistic vision of civilized societies.",,A,"Arts, Culture & Humanities",
,Children's museums,Children's museums,SA070200,A52,"Institutions such as Discovery Centers that develop and maintain educational exhibits and activities that are structured for the size, interests and intellectual capacity of young children. Many children's museums are participatory and allow visitors to interact with the exhibits (touching, exploring, manipulating), and many offer organized lessons for groups of school children that are presented by a museum employee and focus on one or more of the exhibits. See also Science and Technology Museums, for other organizations with substantial activities and collections for children.",,A,"Arts, Culture & Humanities",
,Ethnic museums,Ethnic museums,SA070300,A53,"Specialized museums, foundations and other organizations whose activities and collections preserve and promote the culture and history of a specific nationality, or racial or ethnic group, e.g. Native Americans. For folk art organizations that are not museums, use Folk art. For ethnic art organizations that are not museums, use Cultural awareness.",,A,"Arts, Culture & Humanities",
,History museums,History museums,SA070400,A54,"Institutions that acquire, preserve, research and exhibit permanent or traveling collections of objects including documents, tools, implements and furnishings that have significance in helping to interpret or understand the past. History museums may specialize in a specific era such as early Greece or Rome, a particular geographical region such as California or Appalachia, a particular ethnic or cultural group such as Northwest Native Americans or a specific subject area such as costumes or transportation; and may contain any of a wide variety of items created or used by contemporary or historical figures or other individuals. Includes museums that are devoted to local art and history and historical societies that operate a museum as a primary function. For projects that take the form of historically preserved, original buildings, homes or birthplaces, use Historic preservation.",,A,"Arts, Culture & Humanities",
,Maritime museums,Maritime museums,SA070500,A55,"Institutions that acquire, preserve, research and exhibit permanent or traveling collections of objects that relate to our seagoing history including models of ships, navigation equipment, artifacts from historical ships or shipwrecks and other memorabilia of maritime life from different eras.",,A,"Arts, Culture & Humanities",
,Natural history museums,Natural history museums,SA070600,A56,"Institutions that acquire, preserve, research and exhibit permanent or traveling collections of objects which have significance in the natural sciences including botany, zoology, geology and physical and cultural anthropology and their subsets which include social anthropology, linguistics, ethnology and archaeology. Natural history exhibits vary widely and may display specimens of specific plants, rocks, minerals and other similar objects; feature fossils, skeletal remains and other paleontological relics; demonstrate specific natural phenomena such as the evaporation cycle or the changing of the seasons; comprise dioramas which contain replicas of birds, mammals, snakes and other creatures in their natural habitats; or display artifacts which illustrate the social structure, language and way of life of earlier peoples.",,A,"Arts, Culture & Humanities",
,Planetariums,Planetariums,SA070700,A5A,"Planetariums are institutions that promote astronomy for both educational and entertainment purposes. Planetariums have domed ceilings onto which celestial bodies are projected, and these shows often have musical accompaniment. Planetariums are increasingly used by contemporary artists for audiovisual performances that may or may not have space or astronomy as their themes.",,A,"Arts, Culture & Humanities",
,Science museums,Science museums,SA070800,A57,"Institutions that develop and maintain educational exhibits which illustrate principles from mathematics and the physical sciences including physics, chemistry, astronomy and related fields. Exhibits frequently document specific achievements such as the exploration of space, illustrate a particular natural phenomenon such as the refraction of light or show specific examples of technological development such as the automobile, the telephone or solar heating. For children's museums with activities and collections relating to science, use Children's museums. For organizations that operate transportation museums (automobiles, trains and planes), use higher-level Museums code.",,A,"Arts, Culture & Humanities",
,Sport and hobby museums,Sport and hobby museums,SA070900,A58,"Institutions that acquire, preserve and exhibit permanent or traveling collections of memorabilia associated with a particular hobby or sport or individuals associated with the hobby or sport. Included are museums that are dedicated to collections of hobbyist items like dolls, model trains or bottles and those which focus on the achievements of sports figures such as a football or baseball hall of fame or a museum dedicated to the history of thoroughbred racing.",,A,"Arts, Culture & Humanities",
